Slot,MobID,ClipName,StartFrame,Length,DiskLabel,SourcePath
,urn:smpte:umid:060a2b34.01010100.01010f00.13000000.90ece3cc.9f5a9113.19e45428.0af7abf7,,2,1827,,
,urn:smpte:umid:060a2b34.01010100.01010f00.13000000.90ece3cc.9f5a9113.19e45428.0af7abf7,,2,1827,,
,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.363ff909.05918006.34d078ac.c03c8af9,,0,1827,,
,urn:smpte:umid:060a2b34.01010100.01010f00.13000000.90ece3cc.9f5a9113.19e45428.0af7abf7,,2,1827,,
,urn:smpte:umid:060a2b34.01010100.01010f00.13000000.90ece3cc.9f5a9113.19e45428.0af7abf7,,2,1827,,
,urn:smpte:umid:060a2b34.01010101.01010f00.13000000.060e2b34.7f7f2a80.68623fbb.fc4a12d7,,0,1827,,
,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.363ff8a8.05918006.606478ac.c03c8af9,,0,1827,,
,urn:smpte:umid:060a2b34.01010100.01010f00.13000000.90ece3cc.9f5a9113.19e45428.0af7abf7,,2,1827,,
,urn:smpte:umid:060a2b34.01010100.01010f00.13000000.90ece3cc.9f5a9113.19e45428.0af7abf7,,2,1827,,
,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.363ff909.05918006.34d078ac.c03c8af9,,0,1827,,
,urn:smpte:umid:060a2b34.01010100.01010f00.13000000.90ece3cc.9f5a9113.19e45428.0af7abf7,,2,1827,,
,urn:smpte:umid:060a2b34.01010100.01010f00.13000000.90ece3cc.9f5a9113.19e45428.0af7abf7,,2,1827,,
,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.363ff960.05918006.a20a78ac.c03c8af9,,0,1827,,
,urn:smpte:umid:060a2b34.01010100.01010f00.13000000.90ece3cc.9f5a9113.19e45428.0af7abf7,,2,1827,,
,urn:smpte:umid:060a2b34.01010100.01010f00.13000000.90ece3cc.9f5a9113.19e45428.0af7abf7,,2,1827,,
,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.363ff960.05918006.a20a78ac.c03c8af9,,0,1827,,
,urn:smpte:umid:060a2b34.01010100.01010f00.13000000.90ece3cc.9f5a9113.19e45428.0af7abf7,,2,1827,,
,urn:smpte:umid:060a2b34.01010100.01010f00.13000000.90ece3cc.9f5a9113.19e45428.0af7abf7,,2,1827,,
,urn:smpte:umid:060a2b34.01010101.01010f00.13000000.060e2b34.7f7f2a80.68623fbb.fc4a12d7,,0,1827,,
,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.363ff8a8.05918006.606478ac.c03c8af9,,0,1827,,
,urn:smpte:umid:060a2b34.01010100.01010f00.13000000.90ece3cc.9f5a9113.19e45428.0af7abf7,,2,1827,,
,urn:smpte:umid:060a2b34.01010100.01010f00.13000000.90ece3cc.9f5a9113.19e45428.0af7abf7,,2,1827,,
,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.363ff909.05918006.34d078ac.c03c8af9,,0,1827,,
,urn:smpte:umid:060a2b34.01010100.01010f00.13000000.90ece3cc.9f5a9113.19e45428.0af7abf7,,2,1827,,
,urn:smpte:umid:060a2b34.01010100.01010f00.13000000.90ece3cc.9f5a9113.19e45428.0af7abf7,,2,1827,,
,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.363ff960.05918006.a20a78ac.c03c8af9,,0,1827,,
,urn:smpte:umid:060a2b34.01010100.01010f00.13000000.90ece3cc.9f5a9113.19e45428.0af7abf7,,2,1827,,
,urn:smpte:umid:060a2b34.01010100.01010f00.13000000.90ece3cc.9f5a9113.19e45428.0af7abf7,,2,1827,,
,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.363ff8a8.05918006.606478ac.c03c8af9,,0,1827,,
,urn:smpte:umid:060a2b34.01010100.01010f00.13000000.90ece3cc.9f5a9113.19e45428.0af7abf7,,2,1827,,
,urn:smpte:umid:060a2b34.01010100.01010f00.13000000.90ece3cc.9f5a9113.19e45428.0af7abf7,,2,1827,,
