Timeline Summary
Timeline Name,selectWWD_SIMPLE.Exported.01
Timeline Edit Rate,25.0
Timeline Start TC,10:04:49:18
Timeline Length,00:00:25:23 (648 frames)
Total Timeline Events,4
Total Unique Source Clips,4

Event Number,Clip Name,Source File Name,Source File Path (URL),DiskLabel,TapeID,SourceMobID,Source TrackID,Source Edit Rate,Source Clip Start TC,Source Offset TC,Event Start Time (from source),Event End Time (from source),Event Length (frames),Timeline Start TC,Source Clip Start (frames),Source Offset (frames),Event Start Time (frames)
1,A004_C020_0430NW_001.R3D,A004_C020_0430NW_001.R3D,file://10.10.1.195/nearline/BLINK/BLINK_WW2%20DECODED_NEARLINE/01_RUSHES/2025_04_30/WW2D_250430_RED_A_004/A004_04301J/A004_04301J.RDM/A004_C020_0430NW.RDC/A004_C020_0430NW_001.R3D,WW2D_250430_RED_A_004,WW2D_250430_RED_A_004,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.edad5e92.07968006.75215065.f31b9dcf,N/A,25.0,16:33:50:12,00:00:03:09,16:33:53:21,16:33:55:01,30,10:04:49:18,1490762,84,1490846
2,A004_C024_04303O_001.R3D,A004_C024_04303O_001.R3D,file://10.10.1.195/nearline/BLINK/BLINK_WW2%20DECODED_NEARLINE/01_RUSHES/2025_04_30/WW2D_250430_RED_A_004/A004_04301J/A004_04301J.RDM/A004_C024_04303O.RDC/A004_C024_04303O_001.R3D,WW2D_250430_RED_A_004,WW2D_250430_RED_A_004,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.0e58932b.07968006.51025065.f31b9dcf,N/A,25.0,16:42:18:08,00:01:55:09,16:44:13:17,16:44:15:05,38,10:04:50:23,1503458,2884,1506342
3,WW2D_ARC_966_M_GETTY_537133695.jpg,WW2D_ARC_966_M_GETTY_537133695.jpg,file://MANC-NEXIS/CTVC_SOP_GENERICS/ARCHIVE%20AND%20DOWNLOADS/ARCHIVE_2025_04_03_HEINZ%20LINGE%20EVA%20BRAUN/WW2D_ARC_966_M_GETTY_537133695.jpg,,,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.9f754550.07688006.80623013.8bebd03f,N/A,25.0,01:00:00:00,00:00:09:15,01:00:09:15,01:00:24:07,367,10:04:52:11,90000,240,90240
4,WW2D_ARC_295_S_AP-MOVIETONE_BM64877.mp4,WW2D_ARC_295_S_AP-MOVIETONE_BM64877.mp4,file:///U%3A/BLINK/BLINK_WW2%20DECODED_NEARLINE/02_ARCHIVE/2024_10_08/WW2D_ARC_295_S_AP-MOVIETONE_BM64877.mp4,ARCHIVE_2024_10_08,ARCHIVE_2024_10_08,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.363ff887.05918006.2c8478ac.c03c8af9,N/A,25.0,23:59:59:23,00:00:32:00,24:00:31:23,24:00:40:11,213,10:05:07:03,2159998,800,2160798
