Event,SourceFile,TimelineInTC,SourceClipStartTC,SourceOffsetTC,SourceClipEventInTC
1,A004_C020_0430NW_001.R3D,00:00:00:00,00:00:00:00,00:00:03:09,00:00:03:09
2,A004_C024_04303O_001.R3D,00:00:01:05,00:00:00:00,00:01:55:09,00:01:55:09
3,WW2D_ARC_966_M_GETTY_537133695.jpg,00:00:02:18,00:00:00:00,00:00:09:15,00:00:09:15
4,WW2D_ARC_295_S_AP-MOVIETONE_BM64877.mp4,00:00:17:10,00:00:00:00,00:00:32:00,00:00:32:00
