Event,Timeline In,Source Clip Start,Offset,Event Source In,Source File
1,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,Unknown
2,00:00:01:05,00:00:00:00,00:00:00:00,00:00:00:00,Unknown
3,00:00:02:18,00:00:00:00,00:00:00:00,00:00:00:00,Unknown
4,00:00:17:10,00:00:00:00,00:00:00:00,00:00:00:00,Unknown
