Timeline Summary
Timeline Name,seq5.Exported.01
Timeline Edit Rate,25.0
Timeline Start TC,10:20:00:13
Timeline Length,00:02:03:12 (3087 frames)
Total Timeline Events,43
Total Unique Source Clips,36

Event Number,Clip Name,Source File Name,Source File Path (URL),DiskLabel,TapeID,SourceMobID,Source TrackID,Source Edit Rate,Source Clip Start TC,Source Offset TC,Event Start Time (from source),Event End Time (from source),Event Length (frames),Timeline Start TC,Source Clip Start (frames),Source Offset (frames),Event Start Time (frames)
11,BOD_0689.MXF,BOD_0689.MXF,file://10.10.1.195/nearline/BLINK/BLINK_WW2%20DECODED_NEARLINE/01_RUSHES/2025_03_14/WW2D_20250314_FX6_A_031/XDROOT/Clip/BOD_0689.MXF,WW2D_20250314_FX6_A_031,WW2D_20250314_FX6_A_031,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.14bf5697.07518006.fa9becb1.d733330a,N/A,25.0,10:40:06:13,00:01:40:09,10:41:46:22,10:41:47:23,26,10:20:43:15,960163,2509,962672
12,A005_C016_03141W_001.mov,A005_C016_03141W_001.mov,file://10.10.1.195/nearline/BLINK/BLINK_WW2%20DECODED_NEARLINE/01_RUSHES/2025_03_14/WW2D_20250314_RED%20A_012/A005_0314CH/A005_0314CH.RDM/A005_C016_03141W.RDC/A005_C016_03141W_001.mov,WW2D_20250314_RED A_012,WW2D_20250314_RED A_012,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.ac69c1b7.07528006.1675ecb1.d742a090,N/A,25.0,11:15:46:11,00:00:41:09,11:16:27:20,11:16:30:10,65,10:20:44:16,1013661,1034,1014695
13,A006_C005_0129CW_001.mov,A006_C005_0129CW_001.mov,file:///U%3A/BLINK/BLINK_WW2%20DECODED_NEARLINE/01_RUSHES/2025_01_29/WW2D_20250129_RED%20A_006/A006_0129AL.RDM/A006_C005_0129CW.RDC/A006_C005_0129CW_001.mov,WW2D_20250129_RED A_006,WW2D_20250129_RED A_006,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.2e256f81.07058006.0d41dc4a.3e8bff6f,N/A,25.0,15:30:10:11,00:00:02:05,15:30:12:16,15:30:15:15,74,10:20:47:06,1395261,55,1395316
14,B002_C001_03189X_001.mov,B002_C001_03189X_001.mov,file://10.10.1.195/nearline/BLINK/BLINK_WW2%20DECODED_NEARLINE/01_RUSHES/2025_03_18/WW2D_20250318_RED%20B_013/B002_03181M/B002_03181M.RDM/B002_C001_03189X.RDC/B002_C001_03189X_001.mov,WW2D_20250318_RED B_013,WW2D_20250318_RED B_013,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.962d17c8.07538006.ec86a8a1.59020ae0,N/A,25.0,12:05:30:23,00:00:25:24,12:05:56:22,12:05:58:23,51,10:20:50:05,1088273,649,1088922
15,A005_C003_0314BN_001.mov,A005_C003_0314BN_001.mov,file://10.10.1.195/nearline/BLINK/BLINK_WW2%20DECODED_NEARLINE/01_RUSHES/2025_03_14/WW2D_20250314_RED%20A_012/A005_0314CH/A005_0314CH.RDM/A005_C003_0314BN.RDC/A005_C003_0314BN_001.mov,WW2D_20250314_RED A_012,WW2D_20250314_RED A_012,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.99545421.07528006.3c9decb1.d742a090,N/A,25.0,10:31:20:23,00:01:45:18,10:33:06:16,10:33:09:15,74,10:20:52:06,947023,2643,949666
16,B005_C020_0314UT_001.mov,B005_C020_0314UT_001.mov,file://10.10.1.195/nearline/BLINK/BLINK_WW2%20DECODED_NEARLINE/01_RUSHES/2025_03_14/WW2D_20250314_RED%20B_011/B005_0314IL.RDM/B005_C020_0314UT.RDC/B005_C020_0314UT_001.mov,WW2D_20250314_RED B_011,WW2D_20250314_RED B_011,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.104b2ba4.07518006.b633ecb1.d742a090,N/A,25.0,11:19:52:20,00:00:46:03,11:20:38:23,11:20:42:12,89,10:20:55:05,1019820,1153,1020973
17,B005_C025_0314XK_001.mov,B005_C025_0314XK_001.mov,file:///U%3A/BLINK/BLINK_WW2%20DECODED_NEARLINE/01_RUSHES/2025_03_14/WW2D_20250314_RED%20B_011/B005_0314IL.RDM/B005_C025_0314XK.RDC/B005_C025_0314XK_001.mov,WW2D_20250314_RED B_011,WW2D_20250314_RED B_011,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.0f8cf206.07518006.5c9aecb1.d742a090,N/A,25.0,11:41:45:03,00:00:21:22,11:42:07:00,11:42:08:21,46,10:20:58:19,1052628,547,1053175
18,WW2D_ARC_214_S_NARA_EvaBraun_colourised_242-2-r2_1_HITPAW.mp4,WW2D_ARC_214_S_NARA_EvaBraun_colourised_242-2-r2_1_HITPAW.mp4,file:///Z%3A/ARCHIVE%20AND%20DOWNLOADS/HITPAW%20ARCHIVE/WW2D_ARC_214_S_NARA_EvaBraun_colourised_242-2-r2_1_HITPAW.mp4,,,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.5a25c5ab.08298006.f65f644e.d7ca5741,N/A,24.0,00:00:00:00,00:00:00:20,00:00:00:20,00:00:02:00,28,10:21:00:15,0,20,20
19,WW2D_ARC_214_S_NARA_EvaBraun_colourised_242-2-r2_3_HITPAW.mp4,WW2D_ARC_214_S_NARA_EvaBraun_colourised_242-2-r2_3_HITPAW.mp4,file:///Z%3A/ARCHIVE%20AND%20DOWNLOADS/HITPAW%20ARCHIVE/WW2D_ARC_214_S_NARA_EvaBraun_colourised_242-2-r2_3_HITPAW.mp4,,,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.5a2c4eba.08298006.edd3644e.d7ca5741,N/A,24.0,00:00:00:00,00:00:01:00,00:00:01:00,00:00:02:10,34,10:21:01:17,0,24,24
20,WW2D_ARC_214_S_NARA_EvaBraun_colourised_242-2-r2_4_HITPAW.mp4,WW2D_ARC_214_S_NARA_EvaBraun_colourised_242-2-r2_4_HITPAW.mp4,file:///Z%3A/ARCHIVE%20AND%20DOWNLOADS/HITPAW%20ARCHIVE/WW2D_ARC_214_S_NARA_EvaBraun_colourised_242-2-r2_4_HITPAW.mp4,,,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.5a252e91.08298006.52e4644e.d7ca5741,N/A,24.0,00:00:00:00,00:00:01:19,00:00:01:19,00:00:04:08,61,10:21:03:00,0,43,43
